communication_event_id,event_source_id,artifact_kind,artifact_url,status
comm-44a945f85954d4b94609e5dc,src-7e5dd0bb1201253fe22a8942,VIDEO,https://www.youtube.com/watch?v=VygfQibBlA8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-44adc0502fba0c072e484a1a,src-93a4c4a761e491ae7549448e,VIDEO,https://youtube.com/live/SJxWQyIg8ds?feature=share,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-47ddd37639055fe3aeb7cebe,src-b7bceb8b78ffd51f7eb73e12,VIDEO,https://www.youtube.com/watch?v=VT-qvBVR3j8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-48c53900ae04b6fc5e3af7d0,src-90bc6c14f0523781d7fe66f9,VIDEO,https://www.youtube.com/watch?v=DSWlFvAPSuQ,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-497566a6f710c7862de9395b,src-ab8816508ade3e973cbf7f31,VIDEO,https://www.youtube.com/watch?v=J5-6Wd9jXM8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-49b4e8ccd5d7f71d9e073d3c,src-5e8bc72256a07abb477d1571,VIDEO,https://www.youtube.com/watch?v=K0UwLfevw24,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-4b926df11dce3259340826fc,src-0e4af0d588abf2fae700c7e8,VIDEO,https://youtube.com/live/SJxWQyIg8ds?feature=share,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-4c22edc11397f6afeab69e9b,src-1d35ef8ae0cda4c2ce2f7e67,VIDEO,https://youtu.be/llM3g06N3XQ,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-4c71662866d3636cb611db65,src-568250680f44c1541ef367de,VIDEO,https://www.youtube.com/watch?v=JXpu7PVT5gM,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-4ca7a9a75a5f3cbcc9a74131,src-f66977933a5a9f2b95318931,VIDEO,https://www.youtube.com/live/BEPvRhTz6KE?si=aVuRr0WjwhLYIVqR,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-4da4bd818bb54f635e716c70,src-fbcd9e8361673e4fce8cd08b,VIDEO,https://www.youtube.com/watch?v=HbrqWGhrgLM,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
